epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,37977.7,1.30851,3.05608,1.33142,0.67413,0.61253,0.66697,0.39975,1.41597,3.26058,1.37677,9.41e-05,9.41e-05,9.41e-05
84,38435.8,1.30016,3.01951,1.33163,0.67663,0.61211,0.66777,0.40017,1.4156,3.25715,1.37622,8.915e-05,8.915e-05,8.915e-05
85,38893.6,1.30407,3.02007,1.32956,0.67592,0.61304,0.66791,0.4006,1.41521,3.25519,1.37568,8.42e-05,8.42e-05,8.42e-05
86,39351.6,1.29979,3.01455,1.32627,0.67549,0.61383,0.66837,0.40098,1.41448,3.25249,1.37504,7.925e-05,7.925e-05,7.925e-05
87,39809.2,1.30382,3.02848,1.32476,0.67372,0.61524,0.66879,0.40128,1.41416,3.25074,1.37458,7.43e-05,7.43e-05,7.43e-05
88,40268.3,1.29552,2.98952,1.32114,0.6729,0.61692,0.66909,0.40154,1.41406,3.24884,1.37411,6.935e-05,6.935e-05,6.935e-05
89,40727.8,1.29866,2.99908,1.32463,0.67465,0.61588,0.66945,0.40189,1.41374,3.24579,1.37352,6.44e-05,6.44e-05,6.44e-05
90,41185.8,1.28957,2.9706,1.32182,0.67543,0.61635,0.67002,0.40224,1.41351,3.24408,1.37322,5.945e-05,5.945e-05,5.945e-05
91,41635.3,1.23973,2.6017,1.29549,0.68007,0.61484,0.67081,0.40266,1.41329,3.23985,1.37269,5.45e-05,5.45e-05,5.45e-05
92,42088.1,1.23294,2.57452,1.29299,0.67735,0.61735,0.67144,0.40309,1.41297,3.23754,1.37224,4.955e-05,4.955e-05,4.955e-05
